strain	date
hCoV-19/HongKong/HK-HKPU-PUN516322101/2022	2022-06-30
hCoV-19/HongKong/HK-HKPU-PUH073934515/2022	2022-06-18
hCoV-19/HongKong/HK-HKPU-PUH091743505/2022	2022-06-16
hCoV-19/HongKong/HK-HKPU-PUN384251709/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN683497912/2022	2022-08-22
hCoV-19/HongKong/HK-HKPU-PUN384073185/2022	2022-08-22
hCoV-19/HongKong/HK-HKPU-PU22V4256331/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-PUN384530187/2022	2022-08-20
hCoV-19/HongKong/HK-HKPU-PUN384391055/2022	2022-08-18
hCoV-19/HongKong/HK-HKPU-PUN517708437/2022	2022-08-17
hCoV-19/HongKong/HK-HKPU-PUN383862860/2022	2022-08-19
hCoV-19/HongKong/HK-HKPU-PUN518172867/2022	2022-08-18
hCoV-19/HongKong/HK-HKPU-PUN525936621/2022	2022-08-11
hCoV-19/HongKong/HK-HKPU-PUN383522873/2022	2022-08-10
hCoV-19/HongKong/HK-HKPU-PUN523464358/2022	2022-08-10
hCoV-19/HongKong/HK-HKPU-PUN51815432A/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN524830870/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN521682072/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN518307800/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN517582859/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN683530030/2022	2022-08-11
hCoV-19/HongKong/HK-HKPU-PUN520015595/2022	2022-08-14
hCoV-19/HongKong/HK-HKPU-PUN52506537A/2022	2022-08-14
hCoV-19/HongKong/HK-HKPU-PUN524528139/2022	2022-08-14
hCoV-19/HongKong/HK-HKPU-PUN51802101A/2022	2022-08-13
hCoV-19/HongKong/HK-HKPU-PUN683519630/2022	2022-08-14
hCoV-19/HongKong/HK-HKPU-PUN384675290/2022	2022-08-14
hCoV-19/HongKong/HK-HKPU-PUN383865568/2022	2022-08-14
hCoV-19/HongKong/HK-HKPU-PU22MC870865/2022	2022-06-25
hCoV-19/HongKong/HK-HKPU-PU22MC870843/2022	2022-06-25
hCoV-19/HongKong/HK-HKPU-PU22MC870810/2022	2022-06-25
hCoV-19/HongKong/HK-HKPU-PU22MC870713/2022	2022-06-24
hCoV-19/HongKong/HK-HKPU-PU22MB341645/2022	2022-06-21
hCoV-19/HongKong/HK-HKPU-PU22MC744912/2022	2022-07-23
hCoV-19/HongKong/HK-HKPU-PU22MC874243/2022	2022-07-22
hCoV-19/HongKong/HK-HKPU-PU22MB349676/2022	2022-07-17
hCoV-19/HongKong/HK-HKPU-PU22MC874902/2022	2022-07-27
hCoV-19/HongKong/HK-HKPU-PU22MC874841/2022	2022-07-26
hCoV-19/HongKong/HK-HKPU-PUN685109952/2022	2022-07-28
hCoV-19/HongKong/HK-HKPU-PUN384849973/2022	2022-07-28
